aptNm,umdNm,price,area_m2,floor,cdealType,__lawd_cd__,__deal_ym__,date
원천레이크파크,원천동,20130,49.95,6,,41117,201702,2017-02-23
삼성1,원천동,15500,49.14,7,,41117,201702,2017-02-16
광교호반베르디움,원천동,42000,59.983,14,,41117,201702,2017-02-16
광교e편한세상,이의동,70000,101.1899,15,,41117,201702,2017-02-04
자연앤힐스테이트,이의동,70950,84.53,28,,41117,201702,2017-02-22
광교호반베르디움,원천동,41300,59.9306,12,,41117,201702,2017-02-09
SummitPlace광교,이의동,75000,116.705,4,,41117,201702,2017-02-06
래미안광교,이의동,68200,97.35,24,,41117,201702,2017-02-13
광교대광로제비앙,이의동,44521,84.5282,1,,41117,201702,2017-02-01
자연앤힐스테이트,이의동,60000,84.37,5,,41117,201702,2017-02-13
자연앤힐스테이트,이의동,71000,84.53,22,,41117,201702,2017-02-11
원천레이크파크,원천동,21000,49.95,10,,41117,201702,2017-02-01
삼성1,원천동,13900,49.14,1,,41117,201702,2017-02-09
주공,원천동,19600,49.94,3,,41117,201702,2017-02-03
삼성1,원천동,15800,49.14,8,,41117,201702,2017-02-04
자연앤힐스테이트,이의동,65000,84.37,4,,41117,201702,2017-02-07
자연앤힐스테이트,이의동,67300,84.5,23,,41117,201703,2017-03-31
광교호반베르디움,이의동,53600,84.583,13,,41117,201703,2017-03-30
광교역참누리포레스트,이의동,40500,59.6129,4,,41117,201703,2017-03-30
자연앤자이2단지,이의동,85800,125.41,16,,41117,201703,2017-03-25
자연앤자이2단지,이의동,120000,169.26,26,,41117,201703,2017-03-15
원천레이크파크,원천동,33000,84.79,15,,41117,201703,2017-03-27
광교e편한세상,이의동,84700,119.6158,13,,41117,201703,2017-03-31
광교시티아이,이의동,32300,43.85,2,,41117,201703,2017-03-31
원천레이크파크,원천동,25900,59.99,6,,41117,201703,2017-03-31
원천신미주,원천동,17500,59.94,19,,41117,201703,2017-03-18
SummitPlace광교,이의동,82700,116.533,14,,41117,201703,2017-03-24
자연앤자이3단지,이의동,81500,125.6,23,,41117,201703,2017-03-07
광교호수마을호반써밋,하동,57600,84.94,12,,41117,201703,2017-03-04
광교LAKEPARK한양수자인,하동,48250,84.7654,9,,41117,201703,2017-03-10
삼성1,원천동,15400,49.14,15,,41117,201703,2017-03-31
광교e편한세상,이의동,74000,101.933,5,,41117,201703,2017-03-25
자연앤힐스테이트,이의동,64000,84.5,25,,41117,201703,2017-03-23
광교호수마을호반써밋,하동,57700,84.85,7,,41117,201703,2017-03-23
자연앤힐스테이트,이의동,66000,84.68,5,,41117,201703,2017-03-13
자연앤자이2단지,이의동,77800,101.26,12,,41117,201703,2017-03-25
래미안광교,이의동,70750,97.4,22,,41117,201703,2017-03-14
원천레이크파크,원천동,20500,49.95,11,,41117,201703,2017-03-31
SummitPlace광교,이의동,81400,116.345,18,,41117,201703,2017-03-02
자연앤힐스테이트,이의동,63800,84.49,2,,41117,201703,2017-03-11
주공,원천동,17300,41.3,15,,41117,201703,2017-03-01
자연앤힐스테이트,이의동,71500,84.53,11,,41117,201703,2017-03-04
주공,원천동,17500,41.3,15,,41117,201703,2017-03-08
원천레이크파크,원천동,20600,49.95,4,,41117,201703,2017-03-20
자연앤힐스테이트,이의동,68800,84.63,19,,41117,201703,2017-03-14
원천레이크파크,원천동,25400,59.99,9,,41117,201703,2017-03-01
주공,원천동,26000,66.56,3,,41117,201703,2017-03-07
광교대광로제비앙,이의동,45479,84.6489,3,,41117,201703,2017-03-09
SummitPlace광교,이의동,77000,107.418,15,,41117,201703,2017-03-25
광교호반베르디움,원천동,42700,59.983,19,,41117,201703,2017-03-08
주공,원천동,19500,41.3,13,,41117,201703,2017-03-20
원천레이크파크,원천동,23800,59.8,9,,41117,201703,2017-03-03
원천레이크파크,원천동,21000,49.95,19,,41117,201703,2017-03-03
원천레이크파크,원천동,24500,59.99,5,,41117,201703,2017-03-20
삼성1,원천동,16000,49.14,13,,41117,201703,2017-03-18
원천레이크파크,원천동,24500,59.8,9,,41117,201703,2017-03-22
원천레이크파크,원천동,21000,49.95,14,,41117,201703,2017-03-11
광교e편한세상,이의동,72500,101.1899,27,,41117,201703,2017-03-09
광교한양수자인,이의동,51700,84.247,10,,41117,201703,2017-03-11
광교호반베르디움,이의동,50000,84.346,1,,41117,201703,2017-03-11
아주,원천동,20500,71.25,3,,41117,201703,2017-03-08
원천레이크파크,원천동,25500,59.99,12,,41117,201703,2017-03-04
삼성1,원천동,14950,49.14,7,,41117,201703,2017-03-11
자연앤힐스테이트,이의동,62800,84.37,1,,41117,201703,2017-03-10
SummitPlace광교,이의동,78000,107.324,10,,41117,201703,2017-03-11
원천레이크파크,원천동,20800,49.95,16,,41117,201703,2017-03-01
광교호반베르디움,원천동,43400,59.9718,18,,41117,201703,2017-03-24
주공,원천동,18000,41.3,2,,41117,201703,2017-03-31
주공,원천동,25500,61.52,4,,41117,201703,2017-03-14
주공,원천동,20500,49.94,15,,41117,201703,2017-03-04
자연앤힐스테이트,이의동,68000,84.55,28,,41117,201703,2017-03-11
광교호반베르디움,원천동,39500,59.9306,1,,41117,201703,2017-03-28
광교호반베르디움,원천동,42000,59.9306,31,,41117,201703,2017-03-16
광교호반베르디움,원천동,42500,59.9306,11,,41117,201703,2017-03-15
광교호반베르디움,원천동,41200,59.9718,7,,41117,201703,2017-03-06
광교호반베르디움,원천동,43300,59.9306,11,,41117,201703,2017-03-01
광교대광로제비앙,이의동,42000,84.6489,5,,41117,201703,2017-03-11
광교호반베르디움,원천동,41500,59.9306,29,,41117,201703,2017-03-22
광교e편한세상,이의동,70000,101.1899,13,,41117,201703,2017-03-08
광교호반베르디움,원천동,42000,59.9718,29,,41117,201703,2017-03-04
원천레이크파크,원천동,25500,59.99,6,,41117,201703,2017-03-23
래미안광교,이의동,70000,97.4,21,,41117,201703,2017-03-25
오드카운티,이의동,70000,123.4079,25,,41117,201703,2017-03-20
자연앤힐스테이트,이의동,66700,84.5,33,,41117,201703,2017-03-17
자연앤자이3단지,이의동,76000,125.6,15,,41117,201703,2017-03-22
광교e편한세상,이의동,76500,101.9421,11,,41117,201703,2017-03-11
자연앤힐스테이트,이의동,64250,84.28,11,,41117,201703,2017-03-04
원천레이크파크,원천동,23300,59.99,17,,41117,201703,2017-03-13
자연앤힐스테이트,이의동,68000,84.55,7,,41117,201703,2017-03-04
자연앤자이2단지,이의동,67000,101.26,1,,41117,201703,2017-03-04
주공,원천동,18450,41.3,9,,41117,201703,2017-03-13
원천레이크파크,원천동,20850,49.95,9,,41117,201703,2017-03-13
자연앤힐스테이트,이의동,63000,84.37,2,,41117,201703,2017-03-01
원천레이크파크,원천동,18950,49.95,1,,41117,201703,2017-03-06
자연앤힐스테이트,이의동,66350,84.46,13,,41117,201703,2017-03-14
삼성1,원천동,14300,49.14,1,,41117,201703,2017-03-06
광교호반베르디움,원천동,53800,84.942,5,,41117,201703,2017-03-11
광교호반베르디움,원천동,42500,59.983,21,,41117,201703,2017-03-11
광교호반베르디움,원천동,41300,59.983,22,,41117,201703,2017-03-04
광교호반베르디움,원천동,41800,59.9306,23,,41117,201703,2017-03-09
자연앤힐스테이트,이의동,70000,84.53,29,,41117,201703,2017-03-03
자연앤힐스테이트,이의동,63800,84.28,8,,41117,201703,2017-03-06
광교호반베르디움,원천동,58000,84.942,19,,41117,201703,2017-03-01
자연앤자이2단지,이의동,84000,101.41,12,,41117,201703,2017-03-02
자연앤힐스테이트,이의동,66000,84.46,22,,41117,201703,2017-03-01
주공,원천동,20700,61.52,1,,41117,201703,2017-03-03
주공,원천동,17800,41.3,7,,41117,201703,2017-03-01
주공,원천동,13700,32.39,11,,41117,201703,2017-03-02
SummitPlace광교,이의동,81200,116.345,21,,41117,201704,2017-04-29
광교호수마을호반써밋,하동,58800,84.96,25,,41117,201704,2017-04-22
오드카운티,이의동,71000,121.9758,14,,41117,201704,2017-04-08
주공,원천동,25000,61.52,15,,41117,201704,2017-04-20
광교e편한세상,이의동,113500,145.6366,27,,41117,201704,2017-04-14
광교호수마을호반써밋,하동,60000,84.96,21,,41117,201704,2017-04-12
원천레이크파크,원천동,20700,49.95,17,,41117,201704,2017-04-27
광교e편한세상,이의동,74000,100.8028,6,,41117,201704,2017-04-26
자연앤자이2단지,이의동,88000,125.41,11,,41117,201704,2017-04-14
자연앤힐스테이트,이의동,69500,84.74,14,,41117,201704,2017-04-17
원천레이크파크,원천동,20750,49.95,15,,41117,201704,2017-04-10
광교호수마을호반써밋,하동,57000,84.94,22,,41117,201704,2017-04-10
광교2차e편한세상,이의동,52700,84.6861,1,,41117,201704,2017-04-28
광교e편한세상,이의동,70000,100.1248,8,,41117,201704,2017-04-29
원천레이크파크,원천동,22870,59.8,3,,41117,201704,2017-04-15
원천레이크파크,원천동,24000,59.99,3,,41117,201704,2017-04-10
광교2차e편한세상,이의동,53300,84.6861,1,,41117,201704,2017-04-25
삼성1,원천동,16200,49.14,8,,41117,201704,2017-04-15
광교호반베르디움,원천동,41800,59.9306,15,,41117,201704,2017-04-22
자연앤힐스테이트,이의동,67800,84.63,6,,41117,201704,2017-04-21
광교2차e편한세상,이의동,54000,84.6861,8,,41117,201704,2017-04-19
자연앤힐스테이트,이의동,64500,84.28,19,,41117,201704,2017-04-29
자연앤자이3단지,이의동,75000,125.6,5,,41117,201704,2017-04-19
자연앤힐스테이트,이의동,70000,84.63,10,,41117,201704,2017-04-06
자연앤힐스테이트,이의동,63800,84.49,2,,41117,201704,2017-04-22
자연앤힐스테이트,이의동,68300,84.46,7,,41117,201704,2017-04-14
주공,원천동,24000,61.52,8,,41117,201704,2017-04-15
주공,원천동,27500,66.56,6,,41117,201704,2017-04-02
광교호수마을호반써밋,하동,64800,111.08,3,,41117,201704,2017-04-08
자연앤힐스테이트,이의동,65000,84.49,8,,41117,201704,2017-04-11
자연앤힐스테이트,이의동,67800,84.49,16,,41117,201704,2017-04-01
자연앤자이3단지,이의동,72000,101.93,4,,41117,201704,2017-04-29
광교호반베르디움,원천동,40000,59.9718,19,,41117,201704,2017-04-15
광교 해모로 아파트,이의동,45800,84.98,9,,41117,201704,2017-04-25
주공,원천동,21300,49.94,9,,41117,201704,2017-04-27
자연앤힐스테이트,이의동,66500,84.55,21,,41117,201704,2017-04-22
원천레이크파크,원천동,25000,59.99,13,,41117,201704,2017-04-03
원천레이크파크,원천동,35000,84.79,11,,41117,201704,2017-04-18
광교호반베르디움,이의동,52500,84.265,7,,41117,201704,2017-04-22
자연앤힐스테이트,이의동,64900,84.46,5,,41117,201704,2017-04-27
광교호반베르디움,이의동,65000,124.721,1,,41117,201704,2017-04-08
광교호반베르디움,원천동,40700,59.9306,13,,41117,201704,2017-04-21
광교호반베르디움,원천동,42650,59.9718,9,,41117,201704,2017-04-22
원천레이크파크,원천동,25000,59.8,14,,41117,201704,2017-04-03
광교LAKEPARK한양수자인,하동,47700,84.8442,22,,41117,201704,2017-04-21
주공,원천동,13600,32.39,15,,41117,201704,2017-04-13
주공,원천동,20500,49.94,7,,41117,201704,2017-04-27
아주,원천동,19150,82.41,6,,41117,201704,2017-04-15
삼성1,원천동,14240,49.14,1,,41117,201704,2017-04-25
삼성1,원천동,15400,49.14,15,,41117,201704,2017-04-18
삼성1,원천동,15400,49.14,10,,41117,201704,2017-04-27
광교e편한세상,이의동,81000,119.7187,10,,41117,201704,2017-04-10
자연앤힐스테이트,이의동,65500,84.49,17,,41117,201704,2017-04-22
자연앤힐스테이트,이의동,63000,84.68,2,,41117,201704,2017-04-03
SummitPlace광교,이의동,83000,116.379,24,,41117,201704,2017-04-01
광교e편한세상,이의동,72000,101.1899,7,,41117,201704,2017-04-01
자연앤힐스테이트,이의동,69000,84.55,17,,41117,201704,2017-04-29
광교호반베르디움,원천동,43650,59.9306,19,,41117,201704,2017-04-03
광교e편한세상,이의동,74700,100.9289,6,,41117,201704,2017-04-08
자연앤자이2단지,이의동,75000,101.26,14,,41117,201704,2017-04-15
삼성1,원천동,15700,49.14,6,,41117,201704,2017-04-08
자연앤힐스테이트,이의동,60000,84.41,2,,41117,201704,2017-04-13
자연앤힐스테이트,이의동,66800,84.49,23,,41117,201704,2017-04-05
주공,원천동,14000,32.39,7,,41117,201704,2017-04-15
자연앤힐스테이트,이의동,67752,84.41,13,,41117,201704,2017-04-13
주공,원천동,18400,41.3,8,,41117,201704,2017-04-05
광교역참누리포레스트,이의동,39850,59.5477,4,,41117,201704,2017-04-05
자연앤힐스테이트,이의동,65000,84.28,17,,41117,201704,2017-04-15
삼성1,원천동,14400,49.14,1,,41117,201704,2017-04-12
주공,원천동,17800,41.3,15,,41117,201704,2017-04-13
광교호반베르디움,원천동,40300,59.9718,5,,41117,201704,2017-04-07
광교호반베르디움,원천동,43000,59.9306,18,,41117,201704,2017-04-01
자연앤힐스테이트,이의동,64500,84.63,23,,41117,201704,2017-04-10
자연앤힐스테이트,이의동,68700,84.37,9,,41117,201704,2017-04-08
삼성1,원천동,15800,49.14,7,,41117,201704,2017-04-05
삼성1,원천동,16300,49.14,9,,41117,201704,2017-04-01
광교 해모로 아파트,이의동,43300,74.58,6,,41117,201704,2017-04-01
광교호반베르디움,원천동,43000,59.9718,23,,41117,201704,2017-04-01
자연앤힐스테이트,이의동,73000,84.68,20,,41117,201704,2017-04-01
광교호수마을호반써밋,하동,56200,84.85,6,,41117,201705,2017-05-20
광교호반베르디움,원천동,42000,59.9306,19,,41117,201705,2017-05-27
광교호반베르디움,원천동,41750,59.9306,28,,41117,201705,2017-05-01
광교호수마을호반써밋,하동,55300,84.96,3,,41117,201705,2017-05-27
자연앤힐스테이트,이의동,70300,84.46,19,,41117,201705,2017-05-31
자연앤힐스테이트,이의동,68500,84.46,20,,41117,201705,2017-05-25
광교호반베르디움,원천동,42000,59.9306,2,,41117,201705,2017-05-30
광교역참누리포레스트,이의동,40700,59.6129,6,,41117,201705,2017-05-27
오드카운티,이의동,66000,122.2325,10,,41117,201705,2017-05-31
광교e편한세상,이의동,74300,101.933,3,,41117,201705,2017-05-23
자연앤힐스테이트,이의동,61000,84.28,1,,41117,201705,2017-05-15
자연앤힐스테이트,이의동,67500,84.5,19,,41117,201705,2017-05-11
광교e편한세상,이의동,73000,101.8467,7,,41117,201705,2017-05-20
광교e편한세상,이의동,83000,119.7187,11,,41117,201705,2017-05-31
광교역참누리포레스트,이의동,39800,59.6129,4,,41117,201705,2017-05-25
광교 해모로 아파트,이의동,44500,84.98,4,,41117,201705,2017-05-13
광교한양수자인,이의동,49000,84.1638,6,,41117,201705,2017-05-06
광교e편한세상,이의동,87000,120.7597,20,,41117,201705,2017-05-27
자연앤자이2단지,이의동,76300,101.26,29,,41117,201705,2017-05-31
자연앤힐스테이트,이의동,71800,84.53,14,,41117,201705,2017-05-13
광교호수마을호반써밋,하동,60000,84.85,29,,41117,201705,2017-05-04
오드카운티,이의동,70700,123.4079,20,,41117,201705,2017-05-24
자연앤힐스테이트,이의동,68000,84.49,19,,41117,201705,2017-05-27
자연앤자이3단지,이의동,77000,125.6,10,,41117,201705,2017-05-18
자연앤힐스테이트,이의동,69500,84.46,11,,41117,201705,2017-05-27
광교호수마을호반써밋,하동,56000,84.85,2,,41117,201705,2017-05-13
광교e편한세상,이의동,78000,101.933,16,,41117,201705,2017-05-18
자연앤힐스테이트,이의동,64000,84.28,15,,41117,201705,2017-05-18
광교e편한세상,이의동,77500,119.7187,6,,41117,201705,2017-05-27
원천신미주,원천동,16700,59.94,6,,41117,201705,2017-05-26
광교역참누리포레스트,이의동,38300,59.5477,2,,41117,201705,2017-05-05
광교호수마을호반써밋,하동,74000,111.08,28,,41117,201705,2017-05-20
자연앤힐스테이트,이의동,72000,84.53,24,,41117,201705,2017-05-19
자연앤힐스테이트,이의동,67500,84.5,11,,41117,201705,2017-05-02
광교호수마을호반써밋,하동,60000,84.85,17,,41117,201705,2017-05-10
원천레이크파크,원천동,21400,59.39,2,,41117,201705,2017-05-24
원천레이크파크,원천동,21250,49.95,18,,41117,201705,2017-05-01
광교호수마을호반써밋,하동,69200,111.08,13,,41117,201705,2017-05-02
원천레이크파크,원천동,24000,59.8,13,,41117,201705,2017-05-15
자연앤힐스테이트,이의동,70200,84.49,26,,41117,201705,2017-05-13
원천레이크파크,원천동,20800,49.95,8,,41117,201705,2017-05-15
자연앤힐스테이트,이의동,67500,84.46,6,,41117,201705,2017-05-09
광교호반베르디움,원천동,41500,59.9306,28,,41117,201705,2017-05-01
광교e편한세상,이의동,79000,101.9421,18,,41117,201705,2017-05-15
자연앤자이2단지,이의동,73000,101.26,2,,41117,201705,2017-05-09
자연앤힐스테이트,이의동,74000,84.53,11,,41117,201705,2017-05-09
광교호반베르디움,원천동,41400,59.9306,31,,41117,201705,2017-05-15
광교대광로제비앙,이의동,45971,84.5282,4,,41117,201705,2017-05-22
광교e편한세상,이의동,72700,100.9052,23,,41117,201705,2017-05-29
자연앤힐스테이트,이의동,68500,84.46,18,,41117,201705,2017-05-13
자연앤힐스테이트,이의동,72000,84.68,30,,41117,201705,2017-05-26
오드카운티,이의동,69000,122.4164,11,,41117,201705,2017-05-03
자연앤힐스테이트,이의동,59100,84.28,1,,41117,201705,2017-05-14
자연앤힐스테이트,이의동,72000,84.53,10,,41117,201705,2017-05-23
자연앤힐스테이트,이의동,71000,84.68,31,,41117,201705,2017-05-20
원천레이크파크,원천동,20950,49.95,10,,41117,201705,2017-05-30
주공,원천동,18000,41.3,7,,41117,201705,2017-05-22
아주,원천동,15500,56.67,2,,41117,201705,2017-05-17
광교e편한세상,이의동,79000,101.933,34,,41117,201705,2017-05-13
광교호반베르디움,원천동,43200,59.9718,24,,41117,201705,2017-05-31
원천레이크파크,원천동,19950,49.95,20,,41117,201705,2017-05-31
자연앤힐스테이트,이의동,74000,84.68,31,,41117,201705,2017-05-31
자연앤힐스테이트,이의동,70500,84.63,24,,41117,201705,2017-05-13
자연앤힐스테이트,이의동,74000,84.68,10,,41117,201705,2017-05-08
자연앤힐스테이트,이의동,67000,84.49,7,,41117,201705,2017-05-20
자연앤힐스테이트,이의동,60000,84.5,2,,41117,201705,2017-05-13
자연앤힐스테이트,이의동,67500,84.5,10,,41117,201705,2017-05-04
SummitPlace광교,이의동,79700,107.418,6,,41117,201705,2017-05-31
오드카운티,이의동,66900,122.2325,17,,41117,201705,2017-05-16
래미안광교,이의동,71000,97.4,20,,41117,201705,2017-05-13
광교호반베르디움,원천동,41700,59.9718,20,,41117,201705,2017-05-27
광교호반베르디움,원천동,43900,59.9306,28,,41117,201705,2017-05-29
광교호반베르디움,원천동,41900,59.9306,12,,41117,201705,2017-05-26
광교호반베르디움,원천동,39950,59.9306,2,,41117,201705,2017-05-20
광교호반베르디움,원천동,42800,59.9831,4,,41117,201705,2017-05-19
광교호반베르디움,원천동,39750,59.9306,1,,41117,201705,2017-05-13
광교e편한세상,이의동,76250,100.9289,5,,41117,201705,2017-05-27
광교e편한세상,이의동,74800,100.2932,3,,41117,201705,2017-05-23
주공,원천동,20600,49.94,9,,41117,201705,2017-05-02
원천레이크파크,원천동,22900,59.94,12,,41117,201705,2017-05-18
주공,원천동,13500,32.39,2,,41117,201705,2017-05-23
자연앤자이3단지,이의동,80000,125.6,23,,41117,201705,2017-05-15
자연앤힐스테이트,이의동,69000,84.46,15,,41117,201705,2017-05-20
원천레이크파크,원천동,24300,59.8,5,,41117,201705,2017-05-20
주공,원천동,13000,32.39,1,,41117,201705,2017-05-18
주공,원천동,21000,49.94,4,,41117,201705,2017-05-05
자연앤힐스테이트,이의동,65800,84.28,4,,41117,201705,2017-05-31
삼성1,원천동,14800,49.14,2,,41117,201705,2017-05-02
원천레이크파크,원천동,33000,84.79,16,,41117,201705,2017-05-20
광교LAKEPARK한양수자인,하동,48400,84.804,23,,41117,201705,2017-05-20
삼성1,원천동,14500,49.14,15,,41117,201705,2017-05-09
자연앤힐스테이트,이의동,68200,84.5,16,,41117,201705,2017-05-15
광교호반베르디움,원천동,43600,59.983,23,,41117,201705,2017-05-13
광교2차e편한세상,이의동,55900,84.6861,10,,41117,201705,2017-05-13
자연앤힐스테이트,이의동,66700,84.41,12,,41117,201705,2017-05-03
광교시티아이,이의동,32500,43.85,5,,41117,201705,2017-05-20
광교호반베르디움,원천동,42000,59.9306,6,,41117,201705,2017-05-27
광교호반베르디움,원천동,40500,59.9718,2,,41117,201705,2017-05-29
원천레이크파크,원천동,23000,59.8,2,,41117,201705,2017-05-12
원천레이크파크,원천동,24900,59.99,14,,41117,201705,2017-05-13
자연앤힐스테이트,이의동,66600,84.41,9,,41117,201705,2017-05-25
자연앤힐스테이트,이의동,70000,84.63,31,,41117,201705,2017-05-29
광교시티아이,이의동,32900,43.85,5,,41117,201705,2017-05-08
자연앤자이2단지,이의동,73000,101.26,5,,41117,201705,2017-05-25
자연앤자이2단지,이의동,82000,101.41,5,,41117,201705,2017-05-13
원천레이크파크,원천동,24500,59.8,6,,41117,201705,2017-05-11
삼성1,원천동,15650,49.14,4,,41117,201705,2017-05-09
