deal_ym,aptNm,umdNm,dealAmount_raw,dealYear,dealMonth,dealDay,excluUseAr_raw,floor_raw,buildYear_raw,cdealType,cdealDay,roadNm,price,area_m2,floor,buildYear,date
201701,동탄시범다은마을센트럴파크뷰,반송동,"33,300",2017,1,25,79.84,8,2008,,,동탄공원로1길,33300,79.84,8,2008,2017-01-25
201701,솔빛마을쌍용예가,반송동,"32,000",2017,1,20,78.7193,3,2007,,,동탄반석로,32000,78.7193,3,2007,2017-01-20
201701,우미린제일풍경채,석우동,"42,500",2017,1,25,96.3842,22,2008,,,동탄반석로,42500,96.3842,22,2008,2017-01-25
201701,솔빛마을서해그랑블,반송동,"50,000",2017,1,31,124.332,11,2007,,,동탄문화센터로,50000,124.332,11,2007,2017-01-31
201701,푸르지오,석우동,"33,000",2017,1,21,57.8,23,2008,,,동탄반석로,33000,57.8,23,2008,2017-01-21
201701,자연앤데시앙,능동,"27,500",2017,1,18,59.52,4,2008,,,동탄숲속로,27500,59.52,4,2008,2017-01-18
201701,자연앤데시앙,능동,"28,200",2017,1,17,74.6,30,2008,,,동탄숲속로,28200,74.6,30,2008,2017-01-17
201701,시범다은마을삼성래미안,반송동,"44,300",2017,1,23,113.6529,2,2007,,,메타폴리스로,44300,113.6529,2,2007,2017-01-23
201701,동탄숲속마을 모아미래도1단지,능동,"38,000",2017,1,18,84.96,26,2008,,,동탄숲속로,38000,84.96,26,2008,2017-01-18
201701,자연앤데시앙,능동,"28,000",2017,1,26,59.52,13,2008,,,동탄숲속로,28000,59.52,13,2008,2017-01-26
201701,능동마을이지더원,능동,"29,600",2017,1,13,78.2912,3,2008,,,동탄원천로,29600,78.2912,3,2008,2017-01-13
201701,시범한빛마을동탄아이파크,반송동,"45,800",2017,1,18,84.96,9,2007,,,동탄지성로,45800,84.96,9,2007,2017-01-18
201701,자연앤데시앙,능동,"29,500",2017,1,14,74.6,24,2008,,,동탄숲속로,29500,74.6,24,2008,2017-01-14
201701,시범다은마을삼성래미안,반송동,"47,500",2017,1,7,113.6529,22,2007,,,메타폴리스로,47500,113.6529,22,2007,2017-01-07
201701,동탄시범다은마을 월드메르디앙 반도유보라,반송동,"46,300",2017,1,21,84.65,13,2007,,,동탄중앙로,46300,84.65,13,2007,2017-01-21
201701,서해더블루(106-7),반송동,"45,000",2017,1,6,108.1715,29,2010,,,동탄문화센터로,45000,108.1715,29,2010,2017-01-06
201701,시범한빛마을동탄아이파크,반송동,"36,200",2017,1,16,61.658,11,2007,,,동탄지성로,36200,61.658,11,2007,2017-01-16
201701,동탄숲속마을 광명메이루즈,능동,"35,300",2017,1,21,84.23,9,2008,,,동탄숲속로,35300,84.23,9,2008,2017-01-21
201701,신일유토빌,석우동,"43,700",2017,1,4,128.379,20,2008,,,동탄반석로,43700,128.379,20,2008,2017-01-04
201701,동탄플래티넘,반송동,"43,500",2017,1,21,120.47,10,2010,,,동탄지성로,43500,120.47,10,2010,2017-01-21
201701,동탄숲속마을자연앤경남아너스빌(1115-0),능동,"32,000",2017,1,18,76.5,23,2008,,,동탄숲속로,32000,76.5,23,2008,2017-01-18
201701,시범다은마을우남퍼스트빌,반송동,"38,000",2017,1,17,84.9743,11,2007,,,동탄중앙로,38000,84.9743,11,2007,2017-01-17
201701,우미린제일풍경채,석우동,"36,850",2017,1,14,76.4593,11,2008,,,동탄반석로,36850,76.4593,11,2008,2017-01-14
201701,솔빛마을서해그랑블,반송동,"51,500",2017,1,25,121.55,15,2007,,,동탄문화센터로,51500,121.55,15,2007,2017-01-25
201701,시범다은마을우남퍼스트빌,반송동,"40,500",2017,1,4,84.4275,10,2007,,,동탄중앙로,40500,84.4275,10,2007,2017-01-04
201701,시범다은마을우남퍼스트빌,반송동,"40,000",2017,1,16,84.9743,22,2007,,,동탄중앙로,40000,84.9743,22,2007,2017-01-16
201701,자연앤데시앙,능동,"27,500",2017,1,12,59.52,15,2008,,,동탄숲속로,27500,59.52,15,2008,2017-01-12
201701,동탄숲속마을 모아미래도1단지,능동,"29,850",2017,1,13,60.49,17,2008,,,동탄숲속로,29850,60.49,17,2008,2017-01-13
201701,솔빛마을서해그랑블,반송동,"52,200",2017,1,7,121.55,7,2007,,,동탄문화센터로,52200,121.55,7,2007,2017-01-07
201701,나루마을월드메르디앙반도유보라,반송동,"39,500",2017,1,13,101.9599,3,2007,,,동탄나루로,39500,101.9599,3,2007,2017-01-13
201701,동탄숲속마을 모아미래도1단지,능동,"28,000",2017,1,7,59.37,4,2008,,,동탄숲속로,28000,59.37,4,2008,2017-01-07
201701,신일유토빌,석우동,"46,300",2017,1,17,128.379,5,2008,,,동탄반석로,46300,128.379,5,2008,2017-01-17
201701,자연앤데시앙,능동,"32,300",2017,1,7,84.57,20,2008,,,동탄숲속로,32300,84.57,20,2008,2017-01-07
201701,행복마을 참누리 에듀파크(101동-113동),기산동,"25,300",2017,1,19,84.914,15,2006,,,동탄지성로,25300,84.914,15,2006,2017-01-19
201701,METAPOLIS,반송동,"93,500",2017,1,3,187.117,56,2010,,,동탄중앙로,93500,187.117,56,2010,2017-01-03
201701,행복마을 참누리 에듀파크(101동-113동),기산동,"22,300",2017,1,14,59.911,9,2006,,,동탄지성로,22300,59.911,9,2006,2017-01-14
201701,자연앤데시앙,능동,"28,000",2017,1,9,59.52,6,2008,,,동탄숲속로,28000,59.52,6,2008,2017-01-09
201701,동탄시범다은마을 월드메르디앙 반도유보라,반송동,"44,500",2017,1,23,84.68,15,2007,,,동탄중앙로,44500,84.68,15,2007,2017-01-23
201701,신일유토빌,석우동,"42,500",2017,1,24,128.379,2,2008,,,동탄반석로,42500,128.379,2,2008,2017-01-24
201701,자연앤데시앙,능동,"32,800",2017,1,12,84.94,23,2008,,,동탄숲속로,32800,84.94,23,2008,2017-01-12
201701,자연앤데시앙,능동,"28,500",2017,1,17,74.6,4,2008,,,동탄숲속로,28500,74.6,4,2008,2017-01-17
201701,솔빛마을신도브래뉴,반송동,"41,000",2017,1,18,84.753,11,2007,,,동탄반석로,41000,84.753,11,2007,2017-01-18
201701,롯데캐슬,석우동,"53,000",2017,1,12,129.93,3,2008,,,동탄반석로,53000,129.93,3,2008,2017-01-12
201701,서동탄역우남퍼스트빌아파트,능동,"24,100",2017,1,19,84.2119,9,2002,,,10용사로,24100,84.2119,9,2002,2017-01-19
201701,솔빛마을신도브래뉴,반송동,"36,500",2017,1,17,84.9245,1,2007,,,동탄반석로,36500,84.9245,1,2007,2017-01-17
201701,신동탄푸르지오,기산동,"22,000",2017,1,16,72.3185,12,2005,,,동탄지성로,22000,72.3185,12,2005,2017-01-16
201701,시범한빛마을동탄아이파크,반송동,"35,000",2017,1,3,61.658,28,2007,,,동탄지성로,35000,61.658,28,2007,2017-01-03
201701,나루마을한화꿈에그린우림필유,반송동,"40,000",2017,1,25,84.96,9,2007,,,동탄반석로,40000,84.96,9,2007,2017-01-25
201701,동탄시범다은마을 월드메르디앙 반도유보라,반송동,"46,900",2017,1,21,84.65,19,2007,,,동탄중앙로,46900,84.65,19,2007,2017-01-21
201701,나루마을한화꿈에그린,반송동,"44,800",2017,1,19,113.61,11,2007,,,동탄중앙로,44800,113.61,11,2007,2017-01-19
201701,자연앤데시앙,능동,"27,500",2017,1,7,59.94,6,2008,,,동탄숲속로,27500,59.94,6,2008,2017-01-07
201701,자연앤데시앙,능동,"28,000",2017,1,7,59.94,9,2008,,,동탄숲속로,28000,59.94,9,2008,2017-01-07
201701,솔빛마을신도브래뉴,반송동,"40,600",2017,1,13,84.9245,5,2007,,,동탄반석로,40600,84.9245,5,2007,2017-01-13
201701,시범한빛마을한화꿈에그린,반송동,"43,500",2017,1,5,84.8,13,2007,,,동탄시범한빛길,43500,84.8,13,2007,2017-01-05
201701,시범한빛마을한화꿈에그린,반송동,"41,300",2017,1,9,84.8,26,2007,,,동탄시범한빛길,41300,84.8,26,2007,2017-01-09
201701,솔빛마을쌍용예가,반송동,"39,100",2017,1,14,84.9794,12,2007,,,동탄반석로,39100,84.9794,12,2007,2017-01-14
201701,솔빛마을쌍용예가,반송동,"35,200",2017,1,24,78.7193,15,2007,,,동탄반석로,35200,78.7193,15,2007,2017-01-24
201701,롯데캐슬,석우동,"40,650",2017,1,5,87.64,10,2008,,,동탄반석로,40650,87.64,10,2008,2017-01-05
201701,동탄시범다은마을 월드메르디앙 반도유보라,반송동,"44,900",2017,1,9,84.65,19,2007,,,동탄중앙로,44900,84.65,19,2007,2017-01-09
201701,솔빛마을신도브래뉴,반송동,"38,700",2017,1,23,84.9245,22,2007,,,동탄반석로,38700,84.9245,22,2007,2017-01-23
201701,솔빛마을신도브래뉴,반송동,"41,000",2017,1,12,84.9245,13,2007,,,동탄반석로,41000,84.9245,13,2007,2017-01-12
201701,우미린제일풍경채,석우동,"47,500",2017,1,19,112.961,24,2008,,,동탄반석로,47500,112.961,24,2008,2017-01-19
201701,동탄숲속마을 능동역 리체 더 포레스트,능동,"31,000",2017,1,24,110.1671,27,2008,,,동탄숲속로,31000,110.1671,27,2008,2017-01-24
201701,나루마을신도브래뉴,반송동,"46,000",2017,1,17,103.9466,15,2007,,,동탄반석로,46000,103.9466,15,2007,2017-01-17
201701,나루마을한화꿈에그린우림필유,반송동,"39,500",2017,1,3,84.96,29,2007,,,동탄반석로,39500,84.96,29,2007,2017-01-03
201701,삼성래미안1차,기산동,"22,700",2017,1,22,84.987,3,2003,,,동탄지성로,22700,84.987,3,2003,2017-01-22
201701,신일유토빌,석우동,"44,000",2017,1,15,128.379,21,2008,,,동탄반석로,44000,128.379,21,2008,2017-01-15
201701,센트럴S타운,반송동,"9,500",2017,1,18,19.09,10,2008,,,메타폴리스로,9500,19.09,10,2008,2017-01-18
201701,센트럴S타운,반송동,"7,500",2017,1,18,14.88,10,2008,,,메타폴리스로,7500,14.88,10,2008,2017-01-18
201701,시범한빛마을동탄아이파크,반송동,"45,400",2017,1,23,84.96,11,2007,,,동탄지성로,45400,84.96,11,2007,2017-01-23
201701,롯데캐슬,석우동,"51,700",2017,1,5,129.93,14,2008,,,동탄반석로,51700,129.93,14,2008,2017-01-05
201701,롯데캐슬,석우동,"47,400",2017,1,3,111.04,11,2008,,,동탄반석로,47400,111.04,11,2008,2017-01-03
201701,시범한빛마을동탄아이파크,반송동,"40,000",2017,1,20,84.96,1,2007,,,동탄지성로,40000,84.96,1,2007,2017-01-20
201701,솔빛마을신도브래뉴,반송동,"40,500",2017,1,20,84.9245,7,2007,,,동탄반석로,40500,84.9245,7,2007,2017-01-20
201701,METAPOLIS,반송동,"66,000",2017,1,19,128.44,24,2010,,,동탄중앙로,66000,128.44,24,2010,2017-01-19
201701,서동탄역우남퍼스트빌아파트,능동,"24,500",2017,1,6,84.2119,18,2002,,,10용사로,24500,84.2119,18,2002,2017-01-06
201701,푸르지오,석우동,"32,600",2017,1,13,59.556,18,2008,,,동탄반석로,32600,59.556,18,2008,2017-01-13
201701,동탄시범다은마을센트럴파크뷰,반송동,"34,000",2017,1,6,80.968,21,2008,,,동탄공원로1길,34000,80.968,21,2008,2017-01-06
201701,동탄시범다은마을센트럴파크뷰,반송동,"32,800",2017,1,7,79.84,13,2008,,,동탄공원로1길,32800,79.84,13,2008,2017-01-07
201701,시범다은마을삼성래미안,반송동,"42,600",2017,1,1,84.6098,20,2007,,,메타폴리스로,42600,84.6098,20,2007,2017-01-01
201701,포스코더샵2차,능동,"37,700",2017,1,7,84.0255,26,2008,,,동탄공원로,37700,84.0255,26,2008,2017-01-07
